datetime,hourly_rain_mm,water_level_cm,flow_rate_m3_per_s,batery_v
2024-05-15 20:15:00,0.00,510.00,,13.10
2024-05-15 20:00:00,0.00,510.00,,13.10
2024-05-15 19:45:00,0.00,512.00,,13.10
2024-05-15 19:30:00,0.00,512.00,,13.10
2024-05-15 19:15:00,0.00,511.00,,13.10
2024-05-15 19:00:00,0.00,512.00,,13.10
2024-05-15 18:45:00,0.00,512.00,,13.10
2024-05-15 18:30:00,0.00,513.00,,13.10
2024-05-15 18:15:00,0.00,512.00,,13.40
2024-05-15 18:00:00,0.00,513.00,,13.40
2024-05-15 17:45:00,0.00,514.00,,13.40
2024-05-15 17:30:00,0.00,514.00,,13.40
2024-05-15 17:15:00,0.00,515.00,,14.20
2024-05-15 17:00:00,0.00,518.00,,14.20
2024-05-15 16:45:00,0.00,516.00,,14.20
2024-05-15 16:30:00,0.00,516.00,,14.20
2024-05-15 16:15:00,0.00,516.00,,14.20
2024-05-15 16:00:00,0.00,516.00,,14.20
2024-05-15 15:45:00,0.00,514.00,,14.20
2024-05-15 15:30:00,0.00,516.00,,14.20
2024-05-15 15:15:00,0.00,518.00,,14.40
2024-05-15 15:00:00,0.00,516.00,,14.40
2024-05-15 14:45:00,0.00,515.00,,14.40
2024-05-15 14:30:00,0.00,515.00,,14.40
2024-05-15 14:15:00,0.00,517.00,,14.50
2024-05-15 14:00:00,0.00,517.00,,14.50
2024-05-15 13:45:00,0.00,518.00,,14.50
2024-05-15 13:30:00,0.00,520.00,,14.50
2024-05-15 13:15:00,0.00,518.00,,14.50
2024-05-15 13:00:00,0.00,519.00,,14.50
2024-05-15 12:45:00,0.00,521.00,,14.50
2024-05-15 12:30:00,0.00,519.00,,14.50
2024-05-15 12:15:00,0.00,519.00,,14.50
2024-05-15 12:00:00,0.00,518.00,,14.50
2024-05-15 11:45:00,0.00,518.00,,14.50
2024-05-15 11:30:00,0.00,519.00,,14.50
2024-05-15 11:15:00,0.00,519.00,,14.60
2024-05-15 11:00:00,0.00,519.00,,14.60
2024-05-15 10:45:00,0.00,521.00,,14.60
2024-05-15 10:30:00,0.00,520.00,,14.60
2024-05-15 10:15:00,0.00,521.00,,14.60
2024-05-15 10:00:00,0.00,519.00,,14.60
2024-05-15 09:45:00,0.00,520.00,,14.60
2024-05-15 09:30:00,0.00,519.00,,14.60
2024-05-15 09:15:00,0.00,521.00,,14.10
2024-05-15 09:00:00,0.00,521.00,,14.10
2024-05-15 08:45:00,0.00,520.00,,14.10
2024-05-15 08:30:00,0.00,521.00,,14.10
2024-05-15 08:15:00,0.00,519.00,,13.00
2024-05-15 08:00:00,0.00,521.00,,13.00
2024-05-15 07:45:00,0.00,521.00,,13.00
2024-05-15 07:30:00,0.00,521.00,,13.00
2024-05-15 07:15:00,0.00,520.00,,12.90
2024-05-15 07:00:00,0.00,521.00,,12.90
2024-05-15 06:45:00,0.00,522.00,,12.90
2024-05-15 06:30:00,0.00,522.00,,12.90
2024-05-15 06:15:00,0.00,522.00,,12.90
2024-05-15 06:00:00,0.00,521.00,,12.90
2024-05-15 05:45:00,0.00,523.00,,12.90
2024-05-15 05:30:00,0.00,521.00,,12.90
2024-05-15 05:15:00,0.00,521.00,,12.90
2024-05-15 05:00:00,0.00,521.00,,12.90
2024-05-15 04:45:00,0.00,521.00,,12.90
2024-05-15 04:30:00,0.00,520.00,,12.90
2024-05-15 04:15:00,0.00,521.00,,12.90
2024-05-15 04:00:00,0.00,521.00,,12.90
2024-05-15 03:45:00,0.00,520.00,,12.90
2024-05-15 03:30:00,0.00,521.00,,12.90
2024-05-15 03:15:00,0.00,520.00,,13.00
2024-05-15 03:00:00,0.00,521.00,,13.00
2024-05-15 02:45:00,0.00,520.00,,13.00
2024-05-15 02:30:00,0.00,521.00,,13.00
2024-05-15 02:15:00,0.00,522.00,,13.00
2024-05-15 02:00:00,0.00,522.00,,13.00
2024-05-15 01:45:00,0.00,522.00,,13.00
2024-05-15 01:30:00,0.00,520.00,,13.00
2024-05-15 01:15:00,0.00,523.00,,13.00
2024-05-15 01:00:00,0.00,522.00,,13.00
2024-05-15 00:45:00,0.00,523.00,,13.00
2024-05-15 00:30:00,0.00,523.00,,13.00
2024-05-15 00:15:00,0.00,521.00,,13.00
2024-05-15 00:00:00,0.00,522.00,,13.00
2024-05-14 23:45:00,0.00,522.00,,13.00
2024-05-14 23:30:00,0.00,524.00,,13.00
2024-05-14 23:15:00,0.00,521.00,,13.00
2024-05-14 23:00:00,0.00,522.00,,13.00
2024-05-14 22:45:00,0.00,522.00,,13.00
2024-05-14 22:30:00,0.00,523.00,,13.00
2024-05-14 22:15:00,0.00,522.00,,13.00
2024-05-14 22:00:00,0.00,525.00,,13.00
2024-05-14 21:45:00,0.00,523.00,,13.00
2024-05-14 21:30:00,0.00,521.00,,13.00
2024-05-14 21:15:00,0.00,522.00,,13.10
2024-05-14 21:00:00,0.00,521.00,,13.10
2024-05-14 20:45:00,0.00,523.00,,13.10
2024-05-14 20:30:00,0.00,524.00,,13.10
2024-05-14 20:15:00,0.00,525.00,,13.10
2024-05-14 20:00:00,0.00,524.00,,13.10
2024-05-14 19:45:00,0.00,523.00,,13.10
2024-05-14 19:30:00,0.00,522.00,,13.10
2024-05-14 19:15:00,0.00,525.00,,13.10
2024-05-14 19:00:00,0.00,523.00,,13.10
2024-05-14 18:45:00,0.00,523.00,,13.10
2024-05-14 18:30:00,0.00,523.00,,13.10
2024-05-14 18:15:00,0.00,522.00,,13.30
2024-05-14 18:00:00,0.00,522.00,,13.30
2024-05-14 17:45:00,0.00,523.00,,13.30
2024-05-14 17:30:00,0.00,521.00,,13.30
2024-05-14 17:15:00,0.00,522.00,,14.10
2024-05-14 17:00:00,0.00,523.00,,14.10
2024-05-14 16:45:00,0.00,523.00,,14.10
2024-05-14 16:30:00,0.00,522.00,,14.10
2024-05-14 16:15:00,0.00,523.00,,14.20
2024-05-14 16:00:00,0.00,523.00,,14.20
2024-05-14 15:45:00,0.00,522.00,,14.20
2024-05-14 15:30:00,0.00,522.00,,14.20
2024-05-14 15:15:00,0.00,522.00,,14.40
2024-05-14 15:00:00,0.00,523.00,,14.40
2024-05-14 14:45:00,0.00,521.00,,14.40
2024-05-14 14:30:00,0.00,520.00,,14.40
2024-05-14 14:15:00,0.00,521.00,,14.50
2024-05-14 14:00:00,0.00,521.00,,14.50
2024-05-14 13:45:00,0.00,522.00,,14.50
2024-05-14 13:30:00,0.00,522.00,,14.50
2024-05-14 13:15:00,0.00,522.00,,14.50
2024-05-14 13:00:00,0.00,521.00,,14.50
2024-05-14 12:45:00,0.00,522.00,,14.50
2024-05-14 12:30:00,0.00,520.00,,14.50
2024-05-14 12:15:00,0.00,521.00,,14.50
2024-05-14 12:00:00,0.00,519.00,,14.50
2024-05-14 11:45:00,0.00,520.00,,14.50
2024-05-14 11:30:00,0.00,521.00,,14.50
2024-05-14 11:15:00,0.00,522.00,,14.50
2024-05-14 11:00:00,0.00,522.00,,14.50
2024-05-14 10:45:00,0.00,520.00,,14.50
2024-05-14 10:30:00,0.00,520.00,,14.50
2024-05-14 10:15:00,0.00,521.00,,14.50
2024-05-14 10:00:00,0.00,520.00,,14.50
2024-05-14 09:45:00,0.00,520.00,,14.50
2024-05-14 09:30:00,0.00,520.00,,14.50
2024-05-14 09:15:00,0.00,519.00,,14.00
2024-05-14 09:00:00,0.00,520.00,,14.00
2024-05-14 08:45:00,0.00,519.00,,14.00
2024-05-14 08:30:00,0.00,519.00,,14.00
2024-05-14 08:15:00,0.00,520.00,,13.00
2024-05-14 08:00:00,0.00,521.00,,13.00
2024-05-14 07:45:00,0.00,520.00,,13.00
2024-05-14 07:30:00,0.00,520.00,,13.00
2024-05-14 07:15:00,0.00,520.00,,12.90
2024-05-14 07:00:00,0.00,518.00,,12.90
2024-05-14 06:45:00,0.00,519.00,,12.90
2024-05-14 06:30:00,0.00,519.00,,12.90
2024-05-14 06:15:00,0.00,518.00,,12.90
2024-05-14 06:00:00,0.00,518.00,,12.90
2024-05-14 05:45:00,0.00,520.00,,12.90
2024-05-14 05:30:00,0.00,520.00,,12.90
2024-05-14 05:15:00,0.00,519.00,,12.90
2024-05-14 05:00:00,0.00,518.00,,12.90
2024-05-14 04:45:00,0.00,518.00,,12.90
2024-05-14 04:30:00,0.00,517.00,,12.90
2024-05-14 04:15:00,0.00,517.00,,12.90
2024-05-14 04:00:00,0.00,517.00,,12.90
2024-05-14 03:45:00,0.00,515.00,,12.90
2024-05-14 03:30:00,0.00,516.00,,12.90
2024-05-14 03:15:00,0.00,515.00,,13.00
2024-05-14 03:00:00,0.00,517.00,,13.00
2024-05-14 02:45:00,0.00,516.00,,13.00
2024-05-14 02:30:00,0.00,516.00,,13.00
2024-05-14 02:15:00,0.00,515.00,,13.00
2024-05-14 02:00:00,0.00,515.00,,13.00
2024-05-14 01:45:00,0.00,517.00,,13.00
2024-05-14 01:30:00,0.00,516.00,,13.00
2024-05-14 01:15:00,0.00,515.00,,13.00
2024-05-14 01:00:00,0.00,515.00,,13.00
2024-05-14 00:45:00,0.00,514.00,,13.00
2024-05-14 00:30:00,0.00,514.00,,13.00
2024-05-14 00:15:00,0.00,514.00,,13.00
2024-05-14 00:00:00,0.00,514.00,,13.00
2024-05-13 23:45:00,0.00,515.00,,13.00
2024-05-13 23:30:00,0.00,512.00,,13.00
2024-05-13 23:15:00,0.00,512.00,,13.00
2024-05-13 23:00:00,0.00,512.00,,13.00
2024-05-13 22:45:00,0.00,512.00,,13.00
2024-05-13 22:30:00,0.00,513.00,,13.00
2024-05-13 22:15:00,0.00,513.00,,13.00
2024-05-13 22:00:00,0.00,513.00,,13.00
2024-05-13 21:45:00,0.00,512.00,,13.00
2024-05-13 21:30:00,0.00,512.00,,13.00
2024-05-13 21:15:00,0.00,511.00,,13.10
2024-05-13 21:00:00,0.00,509.00,,13.10
2024-05-13 20:45:00,0.00,510.00,,13.10
2024-05-13 20:30:00,0.00,510.00,,13.10
2024-05-13 20:15:00,0.00,508.00,,13.10
2024-05-13 20:00:00,0.00,509.00,,13.10
2024-05-13 19:45:00,0.00,508.00,,13.10
2024-05-13 19:30:00,0.00,508.00,,13.10
2024-05-13 19:15:00,0.00,508.00,,13.10
2024-05-13 19:00:00,0.00,506.00,,13.10
2024-05-13 18:45:00,0.00,506.00,,13.10
2024-05-13 18:30:00,0.00,506.00,,13.10
2024-05-13 18:15:00,0.00,506.00,,13.10
2024-05-13 18:00:00,0.00,505.00,,13.10
2024-05-13 17:45:00,0.00,506.00,,13.10
2024-05-13 17:30:00,0.00,505.00,,13.10
2024-05-13 17:15:00,0.00,504.00,,13.40
2024-05-13 17:00:00,0.00,503.00,,13.40
2024-05-13 16:45:00,0.00,503.00,,13.40
2024-05-13 16:30:00,0.00,502.00,,13.40
2024-05-13 16:15:00,0.00,502.00,,13.90
2024-05-13 16:00:00,0.00,502.00,,13.90
2024-05-13 15:45:00,0.00,500.00,,13.90
